Correcte,Erroné,FR,IT,NL,UK,GE,Nombre total d'apprenants,Examples de mots
s,-,1,1,3,0,3,8,"prɔstɔ, skʂɨʐɔvaɲɛm, skrɛnt͡ɕit͡ɕ"
ʂ,ɔs,4,2,1,0,1,8,"ʂpitala, ʂpitalɛm, ʂpitalu"
i,-,1,2,2,0,2,7,"julifʂa, parkʲɛm, skʂɨʐɔvaɲa"
t͡ɕ,t,0,0,2,4,1,7,iɕt͡ɕ
ɔ,a,2,0,0,2,3,7,"ɔbɔk, prɔstɔ, ʂkɔwɨ, swɔvat͡skʲɛɡɔ"
j,ʂ,3,1,0,2,0,6,julifʂa
-,t,2,0,3,0,1,6,"prɔʂɛ, sklɛpɛm, sklɛpu, za"
u,-,1,0,1,1,3,6,"julifʂa, rɛstavrat͡sji, uvaɡa"
-,k,0,2,2,0,2,6,julifʂa
t,t͡ʂ,0,2,0,4,0,6,"tɛatru, uɲivɛrsɨtɛtu"
af,-,0,0,0,6,0,6,rɛstavrat͡sji
s,-,3,0,0,3,0,6,znajdujɛ
ʂ,xɔs,2,0,2,0,1,5,ʂpitalɛm
it͡s,-,0,3,0,0,2,5,"ulit͡sa, ulit͡sɔ̃, ulit͡sɛ"
t͡s,d͡s,0,1,2,2,0,5,"skrɛnt͡ɕiʂ, skrɛnt͡ɕit͡ɕ, ulit͡sɨ, ulit͡sɔ̃"
ɔ,ɛ,1,0,0,1,3,5,"ɔbɔk, prɔstɔ"
k,t,2,0,0,3,0,5,"ɔbɔk, skrɛnt͡ɕiʂ, skrɛnt͡ɕit͡ɕ, skrɛɲt͡ɕ"
ɔ,u,2,1,0,1,1,5,"ɔbɔk, prɔstɔ, ʂkɔwɨ"
ɕt͡ɕ,t͡ɕ,5,0,0,0,0,5,iɕt͡ɕ
l,-,0,2,0,0,2,4,"kɔvalskʲix, ʂpitalɛm"
-,ɔn,0,4,0,0,0,4,ulit͡sɛ
-,s,2,1,1,0,0,4,"t͡ʂtɛrɨ, i, kɔvalskʲix, swɔvat͡skʲɛɡɔ"
skʂ,ʂ,0,2,0,0,2,4,"skʂɨʐɔvaɲa, skʂɨʐɔvaɲɛm, skʂɨʐɔvaɲu"
j,t͡ʂ,1,0,1,2,0,4,julifʂa
ɔ,ɛf,0,0,0,4,0,4,"ɔbɔk, pravɔ, prɔstɔ, swɔvat͡skʲɛɡɔ"
ɛr,-,0,0,1,0,3,4,numɛr
a,ɛ,0,0,2,0,2,4,pravɔ
s,t͡s,2,0,1,0,0,3,"jɛst, ɕɛ"
t͡ɕ,ʂ,2,0,0,1,0,3,skrɛnt͡ɕit͡ɕ
s,s,0,0,0,2,1,3,ɕɛ
uʂ,ɛsk,2,0,0,1,0,3,julifʂa
w,k,2,0,1,0,0,3,swɔvat͡skʲɛɡɔ
t͡s,ls,2,0,1,0,0,3,swɔvat͡skʲɛɡɔ
t͡ɕ,ɕ,2,1,0,0,0,3,skrɛnt͡ɕit͡ɕ
t͡s,k,2,0,0,1,0,3,"ulit͡sa, ulit͡sɔ̃, ulit͡sɛ"
t͡s,ʂ,2,0,0,1,0,3,"ulit͡sa, ulit͡sɛ"
u,a,0,0,1,2,0,3,"julifʂa, ulit͡sɔ̃, ulit͡sɛ"
t͡s,t͡ʂi,0,0,3,0,0,3,"ulit͡sa, ulit͡sɛ"
ɔ̃,ɔ,0,1,0,1,0,2,"ɲiskɔ̃, ulit͡sɔ̃"
r,ʂ,0,2,0,0,0,2,tɛatru
ɛnt͡s,ɛnt͡ʂ,1,1,0,0,0,2,"skrɛnt͡ɕiʂ, skrɛnt͡ɕit͡ɕ"
-,w,0,0,0,2,0,2,"lɛvɔ, swɔvat͡skʲɛɡɔ"
it͡ɕ,-,0,0,1,0,1,2,skrɛnt͡ɕit͡ɕ
t͡ɕ,ks,0,0,1,1,0,2,skrɛnt͡ɕit͡ɕ
ɔf,-,2,0,0,0,0,2,swɔvat͡skʲɛɡɔ
t͡s,sj,0,0,0,2,0,2,ulit͡sɛ
ɛ,ɛ,2,0,0,0,0,2,skrɛnt͡ɕit͡ɕ
sw,ʂl,0,1,1,0,0,2,swɔvat͡skʲɛɡɔ
al,-,1,0,0,0,1,2,"ʂpitala, ʂpitalɛm"
-,t͡ɕi,2,0,0,0,0,2,skrɛɲt͡ɕ
-,kɔ,1,1,0,0,0,2,"julifʂa, swɔvat͡skʲɛɡɔ"
u,ɛ,0,0,1,1,0,2,"julifʂa, ulit͡sɔ̃"
t͡ɕ,t͡ʂ,1,1,0,0,0,2,"iɕt͡ɕ, skrɛnt͡ɕit͡ɕ"
ɕt͡ɕ,ʂ,0,1,0,1,0,2,iɕt͡ɕ
f,l,0,0,1,1,0,2,f
ʂ,ʂ,0,1,0,1,0,2,prɔʂɛ
kʲi,j,0,2,0,0,0,2,swɔvat͡skʲɛɡɔ
p,p,1,0,1,0,0,2,"pravɔ, sklɛpɛm"
ɨ,ɛ,0,0,0,0,2,2,"nazɨva, skʂɨʐɔvaɲɛm"
uʂ,sk,0,0,0,1,1,2,julifʂa
uʂ,ask,0,0,0,2,0,2,julifʂa
rsɨ,ʑi,0,0,0,0,2,2,uɲivɛrsɨtɛtu
-,r,0,0,0,2,0,2,"dɔbrɔ̃, prɔstɔ"
-,s,0,0,0,1,1,2,"dɔm, na"
k,-,0,0,0,0,2,2,"ɔbɔk, sklɛpu"
sk,-,0,1,0,0,1,2,"kɔvalskʲix, skʂɨʐɔvaɲɛm"
-,um,1,0,0,0,1,2,na
at͡s,ɛs,1,0,0,0,0,1,swɔvat͡skʲɛɡɔ
w,kl,1,0,0,0,0,1,swɔvat͡skʲɛɡɔ
t͡ɕ,t͡s,0,0,0,1,0,1,iɕt͡ɕ
-,lɔ,1,0,0,0,0,1,swɔvat͡skʲɛɡɔ
t͡s,ʂi,0,0,0,1,0,1,ulit͡sɔ̃
t͡s,x,0,0,0,1,0,1,ulit͡sɔ̃
ɔ̃,ɔm,1,0,0,0,0,1,ɲiskɔ̃
t͡ʂ,t͡s,0,0,1,0,0,1,t͡ʂtɛrɨ
t,j,0,0,1,0,0,1,t͡ʂtɛrɨ
t,i,0,0,0,0,1,1,t͡ʂtɛrɨ
m,-,1,0,0,0,0,1,dɔm
-,it͡s,0,0,0,0,1,1,i
t͡s,ɲ,1,0,0,0,0,1,swɔvat͡skʲɛɡɔ
s,ɕt͡s,1,0,0,0,0,1,ɕɛ
i,t,0,0,0,0,1,1,ɕɛ
sk,t͡ʂ,1,0,0,0,0,1,skrɛnt͡ɕiʂ
-,ts,1,0,0,0,0,1,"sklɛpɛm, sklɛpu"
-,t,0,1,0,0,0,1,sklɛpu
sk,ʂ,0,0,0,1,0,1,sklɛpu
-,ɛ,0,0,0,1,0,1,sklɛpu
ɛ,-,0,0,0,1,0,1,sklɛpu
ʂ,zɔs,0,0,1,0,0,1,ʂpitalɛm
t͡ɕ,kɕ,0,1,0,0,0,1,it͡ɕ
-,ʂ,0,1,0,0,0,1,it͡ɕ
l,r,1,0,0,0,0,1,sklɛpɛm
p,t,1,0,0,0,0,1,sklɛpɛm
-,ɛn,0,1,0,0,0,1,sklɛpɛm
a,u,0,1,0,0,0,1,tutaj
ɕ,ʂ,0,1,0,0,0,1,ɕrɔtku
k,-,0,1,0,0,0,1,rɔɡu
w,t,0,0,0,1,0,1,swɔvat͡skʲɛɡɔ
x,k,0,0,1,0,0,1,jɛxat͡ɕ
t͡ɕ,d͡s,0,0,1,0,0,1,jɛt͡ɕ
p,-,0,0,0,1,0,1,ʂiptala
u,a,0,0,0,1,0,1,krutkɔ̃
t͡sj,ʂ,0,0,0,0,1,1,stat͡sja
ɨ,a,0,0,0,0,1,1,nazɨva
zɨ,ʐɛ,0,0,0,0,1,1,nazɨva
uʂ,t͡ʂ,0,0,1,0,0,1,julifʂa
ʑi,ʂ,0,1,0,0,0,1,ʑɛlɔnɨ
w,-,1,0,0,0,0,1,swɔvat͡skʲɛɡɔ
-,ɛk,1,0,0,0,0,1,swɔvat͡skʲɛɡɔ
i,sj,0,1,0,0,0,1,swɔvat͡skʲɛɡɔ
a,ɔ,0,1,0,0,0,1,swɔvat͡skʲɛɡɔ
t͡skʲi,sj,0,1,0,0,0,1,swɔvat͡skʲɛɡɔ
t͡skʲi,tsj,0,1,0,0,0,1,swɔvat͡skʲɛɡɔ
t͡sk,t͡ʂ,0,0,1,0,0,1,swɔvat͡skʲɛɡɔ
t͡sk,s,0,0,0,1,0,1,swɔvat͡skʲɛɡɔ
t͡ɕ,xɕ,0,1,0,0,0,1,it͡ɕ
lit͡s,t͡ʂ,0,0,1,0,0,1,ulit͡sɔ̃
t͡sk,nt͡ʂ,0,0,0,1,0,1,swɔvat͡skʲɛɡɔ
ɔ,as,0,0,0,1,0,1,swɔvat͡skʲɛɡɔ
at͡sk,-,0,0,0,1,0,1,swɔvat͡skʲɛɡɔ
w,j,0,0,0,0,1,1,swɔvat͡skʲɛɡɔ
t͡skʲi,j,0,0,0,0,1,1,swɔvat͡skʲɛɡɔ
t͡sk,k,0,0,0,0,1,1,swɔvat͡skʲɛɡɔ
t͡ɕ,ɕt͡ɕ,1,0,0,0,0,1,it͡ɕ
it͡ɕ,-,0,1,0,0,0,1,it͡ɕ
-,ɡɔ,0,0,0,1,0,1,swɔvat͡skʲɛɡɔ
-,ʂkɛn,1,0,0,0,0,1,skrɛnt͡ɕit͡ɕ
krɛnt͡s,-,1,0,0,0,0,1,skrɛnt͡ɕit͡ɕ
t͡ɕ,ɕt,1,0,0,0,0,1,skrɛnt͡ɕit͡ɕ
t͡ɕi,-,1,0,0,0,0,1,skrɛnt͡ɕit͡ɕ
ɛ,ɛm,0,1,0,0,0,1,skrɛnt͡ɕit͡ɕ
t͡ɕ,ak,0,0,1,0,0,1,skrɛnt͡ɕit͡ɕ
t͡ɕit͡ɕ,t͡ʂ,0,0,1,0,0,1,skrɛnt͡ɕit͡ɕ
t͡s,t͡ʂ,0,0,0,1,0,1,skrɛnt͡ɕit͡ɕ
t,t͡ɕ,1,0,0,0,0,1,uɲivɛrsɨtɛtu
u,ɔ,0,0,0,1,0,1,ulit͡sɛ
t͡s,pi,0,0,0,1,0,1,ulit͡sɛ
it͡s,t͡ʂ,0,0,0,1,0,1,ulit͡sɛ
t͡ɕit͡ɕ,t͡ʂɛn,0,0,0,1,0,1,skrɛnt͡ɕit͡ɕ
ɛnt͡ɕit͡ɕ,ɛnt͡ʂɛn,0,0,0,1,0,1,skrɛnt͡ɕit͡ɕ
ɛnt͡ɕi,ɨnt͡ʂɨ,0,0,0,1,0,1,skrɛnt͡ɕit͡ɕ
t͡ɕi,t͡ʂɨ,0,0,0,0,1,1,skrɛnt͡ɕit͡ɕ
t͡ɕit͡ɕ,t͡ʂak,0,0,0,0,1,1,skrɛnt͡ɕit͡ɕ
t͡ɕit͡ɕ,t͡ʂɛk,0,0,0,0,1,1,skrɛnt͡ɕit͡ɕ
t͡ɕ,k,0,0,0,1,0,1,skrɛnt͡ɕit͡ɕ
-,amp,0,0,0,0,1,1,na
uʂ,ʐas,0,0,1,0,0,1,julifʂa
tɛkɔ̃,-,0,0,0,0,1,1,bibljɔtɛkɔ̃
ɕt͡ɕ,ʂt͡ʂ,1,0,0,0,0,1,iɕt͡ɕ
ɕt͡ɕ,ʂt,0,0,0,1,0,1,iɕt͡ɕ
l,vr,1,0,0,0,0,1,lɛvɔ
s,d͡s,0,1,0,0,0,1,za
s,ʂ,0,0,1,0,0,1,za
ɛnt͡s,ɔt͡ʂ,1,0,0,0,0,1,skrɛnt͡ɕit͡ɕ
am,-,0,0,1,0,0,1,tam
uʂ,aɲis,0,0,0,1,0,1,julifʂa
ʂ,s,0,0,0,1,0,1,julifʂa
ifʂ,ɛsk,1,0,0,0,0,1,julifʂa
ʂ,t͡ʂ,1,0,0,0,0,1,julifʂa
uj,ɨvɔ,1,0,0,0,0,1,znajdujɛ
j,s,1,0,0,0,0,1,znajdujɛ
jt,k,0,0,0,1,0,1,znajdujɛ
ʂ,za,0,0,0,1,0,1,ʂpitala
-,ajt,0,0,0,1,0,1,na
-,u,1,0,0,0,0,1,ʂkɔwɨ
ʂ,ss,0,0,0,1,0,1,ʂkɔwɨ
ɔw,ul,0,0,0,0,1,1,ʂkɔwɨ
ɲi,-,1,0,0,0,0,1,uɲivɛrsɨtɛtu
-,p,0,0,0,1,0,1,ʂiptala
rsɨ,ʂi,0,0,1,0,0,1,uɲivɛrsɨtɛtu
sɨ,ʂi,0,0,1,0,0,1,uɲivɛrsɨtɛtu
t,t͡ɕi,0,0,0,0,1,1,uɲivɛrsɨtɛtu
i,a,0,0,0,0,1,1,skrɛnt͡ɕit͡ɕ
rsɨ,ʐi,0,0,0,0,1,1,uɲivɛrsɨtɛtu
f,ɛs,1,0,0,0,0,1,f
f,t͡ʂ,1,0,0,0,0,1,f
f,d͡s,0,1,0,0,0,1,f
f,ɛs,0,1,0,0,0,1,f
f,n,0,0,1,0,0,1,f
f,ɔp,0,0,0,1,0,1,f
f,pr,0,0,0,0,1,1,f
-,l,0,0,1,0,0,1,ulit͡sɔ̃
ɛt,-,0,0,0,0,1,1,uɲivɛrsɨtɛtu
p,k,1,0,0,0,0,1,pravɔ
st,x,0,1,0,0,0,1,prɔstɔ
i,ɨ,0,0,0,1,0,1,"ɲiskɔ̃, ʂpitala"
ɛ,ɛj,1,0,0,0,0,1,skrɛɲt͡ɕ
k,tɨ,0,0,0,0,1,1,skrɛɲt͡ɕ
ɛ,ɨ,0,0,0,0,1,1,skrɛɲt͡ɕ
tɔ,-,0,0,0,1,0,1,prɔstɔ
ɔk,ut,1,0,0,0,0,1,ɔbɔk
ɛ,i,1,0,0,0,0,1,tɛatru
ra,-,1,0,0,0,0,1,rɛstavrat͡sji
t͡s,nt͡ʂ,0,0,1,0,0,1,rɛstavrat͡sji
t͡sj,ntaʂ,0,0,0,1,0,1,rɛstavrat͡sji
at͡sj,ɔk,0,0,0,1,0,1,rɛstavrat͡sji
taf,ɔ,0,0,0,0,1,1,rɛstavrat͡sji
a,-,0,0,0,0,1,1,rɛstavrat͡sji
-,rɛs,1,0,0,0,0,1,tɛatru
ɛ,ɔr,1,0,0,0,0,1,tɛatru
tr,uk,1,0,0,0,0,1,tɛatru
-,ɔr,1,0,0,0,0,1,rɛstavrat͡sji
